user_name,DeviceID,OS_version,IP,AppID,Location
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device2,Windows,58.28.42.58,KA07519,Hyderabad
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device2,Windows,58.28.42.58,KA07519,Hyderabad
Pavan,user_pavan_test1_device2,Windows,58.28.42.58,KA07519,Hyderabad
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,user_pavan_test1_device1,macOS,56.25.35.51,KA07519,Bangalore
Pavan,websdk_device_12,ANDROID,56.25.35.52,GD21512,Bengaluru
